xi,yi
2.500,14.8070
2.550,9.0565
2.600,4.2299
2.650,0.5292
2.700,-2.1726
2.750,-4.1468
2.800,-5.4657
2.850,-6.3284
2.900,-6.8757
2.950,-7.0938
3.000,-7.0525
3.050,-7.0153
3.100,-6.8254
3.150,-6.5552
3.200,-6.2527
3.250,-5.8355
3.300,-5.5601
3.350,-5.2000
3.400,-4.8517
3.450,-4.5269
3.500,-4.1966
3.550,-3.8877
3.600,-3.5981
3.650,-3.3524
3.700,-3.1521
3.750,-2.8584
3.800,-2.6648
3.850,-2.4629
3.900,-2.2864
3.950,-2.1288
4.000,-1.9240
4.050,-1.8279
4.100,-1.7136
4.150,-1.6292
4.200,-1.4798
4.250,-1.3827
4.300,-1.3256
4.350,-1.2406
4.400,-1.0601
4.450,-1.0455
4.500,-0.9765
4.550,-0.8528
4.600,-0.8998
4.650,-0.7464
4.700,-0.7248
4.750,-0.6937
4.800,-0.6370
4.850,-0.5852
4.900,-0.5446
4.950,-0.4607
5.000,-0.4958
5.050,-0.4603
5.100,-0.4242
5.150,-0.4127
5.200,-0.3391
5.250,-0.2942
5.300,-0.2821
5.350,-0.3706
5.400,-0.3016
5.450,-0.2830
5.500,-0.3069
5.550,-0.2445
5.600,-0.1659
5.650,-0.2302
5.700,-0.2121
5.750,-0.2409
5.800,-0.1764
5.850,-0.1779
5.900,-0.2268
5.950,-0.2149
6.000,-0.1582
